variante,novela,cuando,completa,fallo,minutos,reloj_corredor_s,reloj_registro_s,preludio_s,tandas_s,n_tandas,capitulos,palabras_total,palabras_media,coste_usd,escritor_invocaciones,escritor_segundos,escritor_tokens_salida,escritor_modelo,extractor_invocaciones,extractor_segundos,extractor_tokens_salida,extractor_modelo,qa_invocaciones,qa_segundos,qa_tokens_salida,qa_modelo,orquestador_invocaciones,orquestador_segundos,orquestador_tokens_salida,orquestador_modelo,contradicciones,cortes_qa,reintentos_de_escritor,borradores_descartados,tandas_abortadas,total_capitulos,palabras_por_capitulo,cadencia_qa,ventana_resumen_rodante,max_tokens_contexto_escritor,max_hechos_por_capitulo,modelo_orquestador,carpeta
base,capsula,2026-09-18T16:41:39+02:00,0,QA dejó el manuscrito pausado,16.44,986.5,980.0,248.0,732.0,1,2,837,418.5,5.6244,3,462.6,4387,claude-opus-5,2,504.2,15396,claude-haiku-4-5-20251001,2,235.2,8540,claude-opus-5,5,986.2,24968,claude-opus-5,1,2,0,1,,3,400,1,2,12000,4,claude-opus-5,09_archivo\2026-09-18T16-41-39_capsula
base,repostaje,2026-09-18T17:00:20+02:00,0,QA dejó el manuscrito pausado,18.68,1120.5,1113.8,166.0,947.8,2,3,1275,425.0,6.5105,3,410.0,4267,claude-opus-5,3,709.1,19063,claude-haiku-4-5-20251001,3,351.6,14272,claude-opus-5,5,1120.2,36890,claude-opus-5,1,3,0,0,,3,400,1,2,12000,4,claude-opus-5,09_archivo\2026-09-18T17-00-19_repostaje
base,criogenia,2026-09-18T17:18:46+02:00,1,,18.45,1106.7,1098.8,188.0,910.8,1,3,1258,419.3,5.6181,3,427.2,4952,claude-opus-5,3,721.6,18130,claude-haiku-4-5-20251001,3,367.5,15308,claude-opus-5,5,1104.2,16941,claude-opus-5,0,3,0,0,,3,400,1,2,12000,4,claude-opus-5,09_archivo\2026-09-18T17-18-46_criogenia
base,2,capsula,2026-09-18T17:40:40+02:00,0,QA dejó el manuscrito pausado,14.94,896.6,889.5,208.0,681.5,1,2,806,403.0,4.652,3,456.4,4357,claude-opus-5,2,454.6,14855,claude-haiku-4-5-20251001,2,231.8,8503,claude-opus-5,5,896.2,20230,claude-opus-5,1,2,0,1,0,3,400,1,2,12000,4,claude-opus-5,09_archivo\2026-09-18T17-40-40_capsula
